"month","year","site_code","pCH4_uatm","CH4_uM","pCO2_uatm","CO2_uM","pN2O_uatm","N2O_uM"
8,2019,"ARIK",10096.12,16.6455,16193.5,635.55,1.1975,0.0345
9,2019,"ARIK",7592.41,13.012,13228,542.6,0.093,0.003
10,2019,"ARIK",3324.41,7.45,3499,200.9,0.103,0.005
11,2019,"ARIK",2139.09,5.194,3735,237.6,0.214,0.011
12,2019,"ARIK",652.995,1.8085,1978.5,148.3,0.18,0.0105
1,2020,"ARIK",825.645,2.3395,1501,116,0.219,0.0135
2,2020,"ARIK",798.406666666667,2.312,974.333333333333,77.1,0.113666666666667,0.007
3,2020,"ARIK",861.315,2.0985,1721,109.8,0.415,0.0205
10,2020,"ARIK",21232.141075,53.795046125,9115.8565845,540.80926375,0.6868455535,0.0351032675
11,2020,"ARIK",1298.96867633333,3.311365134,5018.95929533333,339.679336,0.746415036333333,0.039379276
12,2020,"ARIK",407.68819915,1.1654691195,3372.685975,265.6984413,0.589072365,0.036730163
1,2021,"ARIK",355.2702751,0.99752357,2045.0442815,155.57781455,0.518217353,0.031358752
2,2021,"ARIK",451.1336647,1.276912243,2734.501045,211.008439033333,0.360795205,0.0215893643333333
3,2021,"ARIK",691.159192166667,1.65574919,2205.55246466667,137.875288766667,0.598368107666667,0.0292023266666667
4,2021,"ARIK",1229.962028,2.6277223975,2110.7391955,114.00996241,0.3497942305,0.014320242
5,2021,"ARIK",671.5716892,1.3118969515,1920.727279,92.86319105,0.451380626,0.0163427895
6,2021,"ARIK",967.2123496,1.671192994,4511.54740833333,186.661227966667,0.450641584,0.0138321803333333
7,2021,"ARIK",4366.990001,7.3535841335,8467.7536165,338.20858055,0.2234378595,0.006986595
8,2021,"ARIK",24612.5565,42.45399783,4304.003056,178.1035309,0.364825242,0.011096179
11,2021,"ARIK",15496.30539,39.07590619,7596.325795,507.0831223,0.219268993,0.011412883
12,2021,"ARIK",186.3500457,0.516051384,3226.82847,241.372881,0.640798004,0.03782936
1,2022,"ARIK",173.4037459,0.5078627185,3419.915421,274.7710822,0.699726699,0.044805263
2,2022,"ARIK",197.534180733333,0.554508972333333,2376.604776,183.034354166667,0.217232615333333,0.0130729743333333
3,2022,"ARIK",200.14209545,0.555926554,1932.347539,144.24845625,0.2170049025,0.0128797445
4,2022,"ARIK",565.5954188,1.33050966533333,1937.31337066667,115.213271433333,0.231957896,0.0107409163333333
5,2022,"ARIK",353.73806164,0.7451531564,3588.3911744,190.31827793,0.4188269014,0.0168427696
6,2022,"ARIK",5710.7176182,9.902680363,9279.8645985,390.35591895,0.2582722535,0.0080692855
7,2022,"ARIK",20367.4867995,34.504259155,10963.53989,437.5804801,0.3896227295,0.01140967
8,2022,"ARIK",8934.781068,15.18081265,8160.593473,330.9274729,0.131761382,0.003915119
10,2022,"ARIK",20320.1815,45.06951109,8891.316701,504.5710397,0.138593415,0.006008488
11,2022,"ARIK",422.8389894,1.0960865505,3933.3772815,275.98910465,0.212971632,0.011908252
1,2023,"ARIK",59.54545906,0.1742851905,3393.0334045,272.4695,0.150093425,0.0096206415
2,2023,"ARIK",50.9406175733333,0.142407995666667,2045.466955,156.4799741,0.208269141333333,0.0126418333333333
3,2023,"ARIK",95.0962618866667,0.252486534666667,1613.89685666667,114.51865162,0.140632143,0.00788596233333333
4,2023,"ARIK",376.6417854,0.786963516,2770.395232,146.81372055,0.213411238,0.008851154
5,2023,"ARIK",446.068016175,0.9060119795,3534.87111425,178.2762193,0.40219216925,0.01516911675
6,2023,"ARIK",301.06631115,0.5576856805,4356.538808,196.027019,0.1135827995,0.004695735
7,2023,"ARIK",1008.71492356667,1.82816080866667,8970.56842233333,389.4979097,0.167272720666667,0.00565552666666667
8,2023,"ARIK",2989.91210655,5.180239683,13741.711835,585.89537675,0.156890437,0.0052219295
9,2023,"ARIK",12060.05579,25.88858265,6285.77854,342.4846619,0.001,0.001
10,2023,"ARIK",5446.479668,11.40784242,6508.641021,342.8682256,0.123277857,0.004910405
1,2024,"ARIK",259.96770595,0.7722371,3881.6557015,317.63105765,0.416964285,0.026709905
2,2024,"ARIK",248.14749885,0.696885448,1624.5668535,123.4999159,0.1473946195,0.0087579475
3,2024,"ARIK",414.1857614,1.0698990045,1529.259393,104.966846915,0.2474417715,0.0131430885
4,2024,"ARIK",444.999588941,1.05725858325,1150.065214875,68.4041611425,0.25133898825,0.0106532845
5,2024,"ARIK",385.3206016425,0.7604198725,2749.7342685,134.913394665,0.200502487,0.007643109
6,2024,"ARIK",5385.16689223333,9.57309938966667,8877.81732833333,379.4135496,0.1574633,0.004877317
7,2024,"ARIK",27888.45699,47.22484983,4119.535333,186.7542755,0.2091292565,0.006358924
12,2024,"ARIK",69.52246885,0.193487931,2235.689301,168.8470281,0.178058083,0.010642444
1,2025,"ARIK",79.54612434,0.233733958,3480.332729,281.4173624,0.199302052,0.012861276
2,2025,"ARIK",78.1413846666667,0.223527245333333,2174.81938566667,170.2595621,0.216827551,0.013165966
3,2025,"ARIK",127.8713779,0.3277753965,1915.0758725,128.50160895,0.208583676,0.010870037
4,2025,"ARIK",455.52629085,1.0323551475,2306.709741,135.0181318,0.283113855,0.012745196
5,2025,"ARIK",694.881452566667,1.36623977,3254.171669,159.541292033333,8.46024237066667,0.311934837333333
6,2025,"ARIK",9220.5185124,17.064668388,10414.326851,468.140239333333,0.104898959333333,0.00338235866666667
7,2016,"BARC",1581.24666666667,1.91366666666667,1917,52.5,0.933666666666667,0.0183333333333333
8,2016,"BARC",734.313333333333,0.941333333333333,2726.33333333333,80.3333333333333,0.802333333333333,0.017
9,2016,"BARC",814.396666666667,1.05233333333333,2320.66666666667,69.1,1.47833333333333,0.032
10,2016,"BARC",272.05,0.381666666666667,1745.66666666667,57.7333333333333,1.12266666666667,0.027
11,2016,"BARC",174.756666666667,0.248666666666667,1355,45.5666666666667,1.03833333333333,0.0256666666666667
12,2016,"BARC",99.4866666666667,0.159666666666667,1270,49.6333333333333,0.606666666666667,0.0176666666666667
2,2017,"BARC",117.03,0.198333333333333,1440.66666666667,60.5333333333333,0.641333333333333,0.0203333333333333
3,2017,"BARC",316.29,0.486,2642,97.9666666666667,0.521666666666667,0.0143333333333333
4,2017,"BARC",933.02,1.34866666666667,1579.66666666667,54.1,0.916333333333333,0.023
5,2017,"BARC",617.146666666667,0.832666666666667,982.333333333333,30.8333333333333,0.684,0.0153333333333333
6,2017,"BARC",1682.25166666667,2.1755,2020.5,60.1333333333333,0.354,0.0075
8,2017,"BARC",685.746666666667,0.867,3343.66666666667,96.8,0.534333333333333,0.011
9,2017,"BARC",626.843333333333,0.791333333333333,3655,105.533333333333,0.551333333333333,0.0113333333333333
10,2017,"BARC",162.886666666667,0.212333333333333,1817.66666666667,54.6666666666667,0.619333333333333,0.0133333333333333
11,2017,"BARC",36.22,0.053,2347.33333333333,81.9666666666667,0.608333333333333,0.0153333333333333
12,2017,"BARC",54.29,0.0843333333333333,1753.66666666667,65.7,0.270333333333333,0.00766666666666667
1,2018,"BARC",33.58,0.063,1407,66.7,1.053,0.038
2,2018,"BARC",35.43,0.062,1568,68,1.255,0.041
3,2018,"BARC",2173.96,3.418,3694,140.8,0.944,0.027
4,2018,"BARC",440.32,0.631,1999,70.4,0.82,0.021
7,2018,"BARC",2634.91,3.371,6073.5,176.6,1.034,0.0215
9,2018,"BARC",506.09,0.663,6351,192.2,1.689,0.037
10,2018,"BARC",2178.41,2.812,7338,218.2,0.967,0.021
11,2018,"BARC",108.56,0.164,3523,127.7,0.791,0.021
12,2018,"BARC",33.5,0.055,891,36.1,0.32,0.01
1,2019,"BARC",140.52,0.241,1157,49.2,0.417,0.013
2,2019,"BARC",82.35,0.149,637,29.1,0.341,0.012
3,2019,"BARC",971.9,1.62,1673,68.6,0.397,0.012
4,2019,"BARC",29.34,0.045,852,31.6,0.134,0.004
5,2019,"BARC",113.93,0.163,2141,72.3,0.438,0.011
6,2019,"BARC",394.11,0.541,4296,137.7,0.588,0.014
7,2019,"BARC",672.12,0.902,5440,169.4,0.291,0.007
8,2019,"BARC",491.87,0.642,2592,77.9,0.513,0.011
9,2019,"BARC",176.18,0.236,1822,56.9,0.546,0.012
10,2019,"BARC",51.49,0.072,2298,75.4,0.532,0.013
11,2019,"BARC",60.65,0.093,1282,47.5,0.925,0.025
12,2019,"BARC",54.69,0.098,988,44.4,0.517,0.018
1,2020,"BARC",135.67,0.242,1115,50,0.504,0.017
2,2020,"BARC",37.68,0.07,914,43.2,0.769,0.028
3,2020,"BARC",76.16,0.136,954,42.7,0.653,0.022
6,2020,"BARC",195.03,0.272,2301,75.6,0.842,0.02
7,2020,"BARC",448.63,0.611,3882,123.4,0.757,0.017
11,2020,"BARC",311.2396768,0.479573752,1467.244664,54.61432397,1.093035452,0.030028261
12,2020,"BARC",140.5542655,0.2358401,1215.292495,50.22166384,0.501621196,0.015477967
1,2021,"BARC",80.152265725,0.146972638,1024.7670335,47.39062828,0.594836832,0.0208457665
4,2021,"BARC",236.8471974,0.384106038,1260.393587,49.95704069,0.61646683,0.018160616
5,2021,"BARC",211.1948684,0.304976833,1104.275157,37.82193169,0.576817792,0.014421836
6,2021,"BARC",317.8519998,0.438894848,1185.043037,38.35490806,0.313214588,0.007347936
7,2021,"BARC",272.4460471,0.371502614,1611.27899,51.35611709,0.805286608,0.018572985
8,2021,"BARC",307.7620121,0.408720782,1400.563409,43.16425363,1.159679267,0.025750814
1,2022,"BARC",31.406867975,0.0573871825,1031.42367125,47.903527685,0.377719843,0.013485084
3,2022,"BARC",124.7130092,0.207740986,797.7530612,32.76652411,0.365686132,0.01122295
4,2022,"BARC",78.68706999,0.121396489,551.5430165,20.51974917,0.001,0.001
5,2022,"BARC",120.7423975,0.174413225,935.4849334,32.06900632,0.814767406,0.020396026
6,2022,"BARC",173.8359285,0.23727867,1278.319261,40.73945439,0.530369906,0.012222908
7,2022,"BARC",210.2805038,0.264444456,1434.81229,41.17026909,0.383293347,0.007843999
8,2022,"BARC",441.0657237,0.539200695,2052.200711,56.96555833,0.417115908,0.008233837
9,2022,"BARC",386.2518028,0.477437324,1847.023377,51.92360483,0.391039929,0.007825053
10,2022,"BARC",475.898049,0.679834678,1622.938076,54.80253977,0.542367508,0.013342087
11,2022,"BARC",251.8420666,0.366006477,1349.567027,46.57258921,0.432529633,0.010903422
1,2023,"BARC",42.25785105,0.070577317,870.1456628,35.8132449,0.861205543,0.026475287
2,2023,"BARC",139.1433153,0.230894517,963.9556257,39.37203298,0.494479888,0.015074847
3,2023,"BARC",522.8563835,0.75484406,1059.336575,36.23262995,0.519294479,0.012956867
4,2023,"BARC",259.5212063,0.367701961,855.7805614,28.62892158,0.356206285,0.008675242
5,2023,"BARC",352.5459102,0.498667472,1230.990031,41.01961723,0.392683842,0.009513293
6,2023,"BARC",315.2770432,0.422589982,1163.258437,36.24372198,0.197726163,0.004443082
7,2023,"BARC",389.6369361,0.472457362,1128.326465,30.99915583,0.409056555,0.007981633
8,2023,"BARC",726.4072554,0.899968426,2621.618064,74.02871479,1.40142182,0.028205619
9,2023,"BARC",913.6964742,1.143703441,2373.624067,67.90190224,0.120472949,0.00246037
10,2023,"BARC",332.5393404,0.448680415,2183.513666,68.67250519,0.592780609,0.013468104
11,2023,"BARC",152.54563285,0.236546192,1811.2867275,67.9759125,0.325284209,0.0091018715
1,2024,"BARC",93.43847566,0.161814371,1146.328412,49.47857807,0.590098341,0.019154393
2,2024,"BARC",89.14496546,0.155141329,874.1992892,37.85091212,0.389137741,0.012657156
4,2024,"BARC",440.396405,0.653028374,1066.497422,37.80877405,0.375859554,0.009773516
6,2024,"BARC",491.2159343,0.6282002505,1720.739782,50.39795885,0.3314473165,0.006923863
9,2024,"BARC",372.717170805,0.4630967435,2746.4159795,79.7828241,0.31642342,0.0065925295
10,2024,"BARC",89.92563768,0.1218159895,1975.918128,63.50520907,0.391169005,0.009134873
12,2024,"BARC",52.63524098,0.086801822,1737.203733,70.59874054,0.294787189,0.008948226
1,2025,"BARC",41.15990003,0.071489018,1275.22548,55.23695212,0.374763532,0.012212158
3,2025,"BARC",65.87502008,0.106148585,977.7081989,38.45925034,0.310739481,0.009078469
4,2025,"BARC",181.7477739,0.265644637,957.9836527,33.32364491,0.327099087,0.008322944
5,2025,"BARC",784.3516426,1.051326615,2240.702382,69.81371604,0.274393975,0.006165875
3,2018,"BIGC",23.6666666666667,0.0553333333333333,1244,77.6666666666667,0.336,0.0163333333333333
4,2018,"BIGC",48.45,0.1145,1204.5,73.25,0.35125,0.01675
5,2018,"BIGC",104.406,0.2286,1640.6,91.6,0.526,0.0226
6,2018,"BIGC",123.9525,0.26225,2173.5,116.675,0.7145,0.02925
7,2018,"BIGC",131.5,0.266,1866,94.1,0.515,0.02
8,2018,"BIGC",147.83,0.298,1573,79.3,0.241,0.009
9,2018,"BIGC",110.855,0.239,1646,89.8,0.2985,0.0125
10,2018,"BIGC",123.5,0.281,1293,75.7,0.249,0.011
11,2018,"BIGC",103.83,0.244,1834,112.6,0.498,0.024
12,2018,"BIGC",111.47,0.278,2226,146.7,4.355,0.224
1,2019,"BIGC",41.95,0.102,1113,71.2,0.224,0.011
3,2019,"BIGC",24.7066666666667,0.0613333333333333,927.666666666667,60.9,0.110666666666667,0.00566666666666667
4,2019,"BIGC",53.374,0.1228,1194.2,71.64,0.289,0.0132
5,2019,"BIGC",80.62,0.1818,1041.2,60.54,0.188,0.0086
6,2019,"BIGC",124.615,0.259,1782,93.7,0.2615,0.0105
7,2019,"BIGC",122.115,0.254,1507,78.95,0.22,0.009
9,2019,"BIGC",101.09,0.210333333333333,1260,65.4,0.505,0.02
10,2019,"BIGC",80.69,0.178,1001,56.6,0.268,0.012
11,2019,"BIGC",72.01,0.168,1080,65.9,0.213,0.01
12,2019,"BIGC",89.02,0.229,1426,97.3,0.201,0.011
1,2020,"BIGC",57.51,0.145,1143,76.6,0.258,0.014
2,2020,"BIGC",51.675,0.1295,885,58.85,0.1605,0.0085
3,2020,"BIGC",49,0.119,1016,64.8,0.343,0.017
7,2020,"BIGC",124.426441,0.259882115,3155.932394,166.6940044,0.882881336,0.035376717
2,2021,"BIGC",68.046561605,0.1703067595,1588.505914,105.34646115,0.7577879085,0.0392036385
3,2021,"BIGC",71.57675182,0.183895575,1674.919028,113.50112936,0.421508856,0.022592164
4,2021,"BIGC",120.401173,0.274482786,1911.38534233333,112.69165261,0.617497981333333,0.0280436166666667
5,2021,"BIGC",133.70685455,0.287708707,1881.795158,103.333673065,0.3645491215,0.0152800875
6,2021,"BIGC",160.623547466667,0.327316956,1761.42102233333,90.6409618033333,0.478461087,0.0186093373333333
7,2021,"BIGC",329.3238374,0.616471736,2537.436167,116.706301,1.658367106,0.056871033
8,2021,"BIGC",224.76523915,0.4391911485,1649.8712365,80.027608715,0.461906001,0.0168451585
9,2021,"BIGC",236.8561821,0.469812646,1772.402196,87.8342156,0.284759325,0.010627767
10,2021,"BIGC",157.1296096,0.370379006,1300.027587,79.78877977,0.856712586,0.04059296
11,2021,"BIGC",240.2612736,0.56408946,1768.107141,108.2921488,0.3770658,0.01784949
1,2022,"BIGC",48.13733126,0.122221499,1283.668637,86.89549566,0.347387648,0.018414151
2,2022,"BIGC",61.643756525,0.1542481635,1323.9936245,88.01425546,0.2792936295,0.014557469
3,2022,"BIGC",75.0735739566667,0.183040871333333,1467.64850966667,94.2955812633333,0.337002886333333,0.0169287256666667
4,2022,"BIGC",71.566194935,0.165340678,1368.1376695,83.1565142775,0.27356408725,0.01293313825
5,2022,"BIGC",116.112618564,0.262240935,1381.2544154,79.056327658,0.3604388658,0.0162263098
6,2022,"BIGC",125.444015133333,0.250740228,1578.47721166667,79.1613967866667,0.470093566,0.018036742
7,2022,"BIGC",121.6291903,0.226689341,1797.863102,82.42756452,0.487146109,0.01666458
8,2022,"BIGC",214.7247906,0.396039436,1822.698118,82.50257125,0.803819742,0.027109098
9,2022,"BIGC",196.94045815,0.365654763,1781.306757,80.993363535,0.554455122,0.0186788495
10,2022,"BIGC",94.64657828,0.203563343,1251.730004,68.66965877,0.36059936,0.015084839
11,2022,"BIGC",148.9269444,0.312941921,1474.499234,80.87867169,0.38202068,0.016201734
12,2022,"BIGC",114.5333922,0.295110524,1636.123578,112.4680061,0.698198417,0.037597044
2,2023,"BIGC",66.68707706,0.1655085065,2770.9915335,181.47738045,0.5040011755,0.0258622895
5,2023,"BIGC",162.3629499,0.35181847125,1538.811153,85.29104256,0.34584705975,0.014518779
6,2023,"BIGC",201.970908975,0.422764049,1574.95561525,83.4255725375,0.264630073,0.0106392735
7,2023,"BIGC",185.3820714,0.381464973,1549.586889,80.39106382,0.333029546,0.013082879
8,2023,"BIGC",209.2206471,0.401997477,2223.058111,105.8879366,0.376798946,0.013453561
9,2023,"BIGC",155.53010135,0.3170644475,1593.2334435,81.50513892,0.3507287225,0.0132389625
10,2023,"BIGC",107.0174807,0.22904171,1317.6037,71.75207975,1.016673563,0.042155173
12,2023,"BIGC",124.6938267,0.288435673,1501.024231,90.06403141,0.262794512,0.012145671
3,2024,"BIGC",87.206009245,0.214574871,1775.8923845,115.0988374,0.406211134,0.0203705225
4,2024,"BIGC",98.49694784,0.244272517,1550.884878,101.836680405,0.346787572,0.017766826
5,2024,"BIGC",127.37586724,0.2845520826,1773.3889472,101.613017688,0.3388630246,0.0148699012
6,2024,"BIGC",129.4463916875,0.269140374,1642.35094725,85.61459896,0.27775244375,0.01091471875
8,2024,"BIGC",147.6448598,0.279550885,2032.274305,95.04950638,0.324447251,0.011350432
9,2024,"BIGC",130.6046449,0.2620543165,1656.597748,83.213369645,0.3600150335,0.013664803
10,2024,"BIGC",136.4116637,0.281035906,1745.613405,90.7251394,0.292472949,0.011514699
1,2025,"BIGC",89.00272259,0.233884391,1385.1801,97.87220294,0.28127922,0.015641905
2,2025,"BIGC",79.340989495,0.198421674,1208.9374505,79.487790335,0.280365383,0.014437471
3,2025,"BIGC",72.54206946,0.180001311,1262.100508,82.79730978,0.338868774,0.017320544
4,2025,"BIGC",73.44115544,0.178452584,1437.644436,91.76830599,0.26975613,0.01336451
5,2025,"BIGC",118.2125112,0.262925336,1712.67734133333,97.9989843433333,0.258186301333333,0.0113013015
6,2025,"BIGC",141.205791066667,0.289526524,1871.94264733333,96.4799790466667,0.230749370666667,0.00897814866666667
3,2018,"BLDE",31.075,0.0975,1296,111.55,0.3755,0.0255
4,2018,"BLDE",15.76,0.0495,731.5,62.5,0.4885,0.033
5,2018,"BLDE",9.138,0.0258,743.6,55.98,0.373,0.0218
6,2018,"BLDE",20.5325,0.05375,785.75,54.025,0.32375,0.0175
7,2018,"BLDE",30.3233333333333,0.071,972.333333333333,57.2,0.336,0.0153333333333333
8,2018,"BLDE",30.155,0.07,826,48.2,0.386,0.017
9,2018,"BLDE",18.925,0.0495,805,56.05,0.464,0.025
10,2018,"BLDE",11.12,0.029,832,56.7,0.795,0.042
11,2018,"BLDE",18.155,0.057,605,52.2,0.3175,0.022
12,2018,"BLDE",7.04,0.022,995,86.1,0.445,0.031
1,2019,"BLDE",8.03,0.025,830,72.4,0.491,0.034
2,2019,"BLDE",5.69,0.018,865,76.9,0.406,0.029
3,2019,"BLDE",5.845,0.0185,806.5,70.55,0.403,0.0285
4,2019,"BLDE",8.19,0.026,692,59.5,0.329,0.023
5,2019,"BLDE",9.72,0.02825,688.5,52.625,0.39025,0.023
6,2019,"BLDE",14.1533333333333,0.0376666666666667,668,46.9333333333333,0.4835,0.026
7,2019,"BLDE",27.13,0.0646666666666667,665.333333333333,39.9333333333333,0.438,0.0203333333333333
8,2019,"BLDE",34.01,0.08,600,35.9,0.885,0.04
9,2019,"BLDE",16.765,0.0405,489,30.45,0.438,0.0205
10,2019,"BLDE",17.3,0.05,410,32,0.276,0.017
11,2019,"BLDE",10.535,0.033,762,65.8,0.215,0.015
12,2019,"BLDE",8.32,0.026,420,36.4,0.559,0.039
1,2020,"BLDE",2.38,0.008,387,33.6,0.209,0.014
2,2020,"BLDE",2.64,0.008,529,46.1,0.235,0.016
3,2020,"BLDE",4.27,0.0135,257,22.45,0.228,0.016
6,2020,"BLDE",20.065,0.0515,426,27.65,0.2525,0.0135
7,2020,"BLDE",33.215,0.08,483.5,29.95,0.6265,0.0295
8,2020,"BLDE",22.585,0.0545,707,43.75,0.459,0.022
9,2020,"BLDE",14.860168975,0.0398355915,677.78398935,47.95783464,0.5424374345,0.029740302
10,2020,"BLDE",9.065936021,0.02649499,664.59442815,52.19114767,0.56227838,0.0347254585
1,2021,"BLDE",9.543955286,0.030224567,1279.780017,111.306598,0.774108458,0.053666775
2,2021,"BLDE",9.507530383,0.030146376,1109.370916,96.60465717,0.303478114,0.021065257
3,2021,"BLDE",8.0427302735,0.0255715925,1284.644632,112.1324085,0.3574859705,0.024872564
5,2021,"BLDE",9.073749103,0.0255370325,483.7877358,36.292387665,0.272701605,0.0160201305
6,2021,"BLDE",17.701316735,0.0426249925,533.28057685,33.48015387,0.437948393,0.0210053525
7,2021,"BLDE",41.58613147,0.097708289,664.7971758,39.74311347,0.46243833,0.021049714
8,2021,"BLDE",36.889294685,0.08581687,572.5434577,34.181324335,0.5151595085,0.0228952305
9,2021,"BLDE",14.627312265,0.038595603,648.0019255,45.382913015,0.5695954305,0.031192032
10,2021,"BLDE",9.65949763,0.02767816,612.0094662,46.96722379,0.619155775,0.037309109
11,2021,"BLDE",11.095786675,0.035009152,692.859376,59.938903495,0.647044849,0.044644471
12,2021,"BLDE",3.208277538,0.009167942,697.3898739,54.73050709,0.687838382,0.043028711
1,2022,"BLDE",4.926887926,0.015802373,648.6774811,57.17725231,0.299700679,0.021065649
2,2022,"BLDE",4.337170163,0.013823915,629.7594882,55.12558411,0.241229977,0.016831695
3,2022,"BLDE",5.412981574,0.017203795,869.3031353,75.90308707,0.778024765,0.0541640845
4,2022,"BLDE",12.1705944505,0.0385129395,896.26670325,77.28992603,0.8474686055,0.0581835115
5,2022,"BLDE",6.39875979475,0.01858657075,569.63090655,43.3038939975,0.49332761925,0.02919589625
6,2022,"BLDE",11.77207945,0.032548853,457.6105621,33.53761326,0.168878953,0.009658053
12,2022,"BLDE",10.45260156,0.033069528,857.7326144,74.52627614,0.605549619,0.041939701
1,2023,"BLDE",8.057242797,0.02574483,910.1068425,79.8637792,0.237388441,0.016604857
2,2023,"BLDE",11.050203696,0.034338459,679.5553907,57.90060138,0.4108038465,0.02741098
3,2023,"BLDE",8.70133661,0.027908442,709.2829028,62.51927756,0.154867461,0.010885473
4,2023,"BLDE",16.175662992,0.0506420683333333,636.514229866667,54.8132445133333,0.369718205,0.025469085
5,2023,"BLDE",13.308835965,0.03683712,498.908104,36.5724557075,0.4602978685,0.026405626
6,2023,"BLDE",23.936840855,0.0624955005,515.16949915,35.05524972,0.142467957,0.0074758605
7,2023,"BLDE",32.18477102,0.073615093,493.59921715,28.4021988,0.204461334,0.008903614
8,2023,"BLDE",36.024148535,0.086077654,580.8826672,35.70152786,0.1927960375,0.009028558
12,2023,"BLDE",12.98392974,0.0408519355,630.64882615,54.5149295,0.291350709,0.020079153
1,2024,"BLDE",29.27544093,0.094485623,1351.86212,119.9056127,0.284964236,0.02015534
2,2024,"BLDE",23.172045995,0.0735751485,880.58302955,76.79238836,0.2506277795,0.017422277
3,2024,"BLDE",22.42397458,0.071228767,897.1205313,78.20901372,0.366424936,0.025452749
4,2024,"BLDE",33.58827455,0.104889915333333,855.144671266667,72.97732172,0.332420167,0.022468392
5,2024,"BLDE",18.1087798066667,0.0523650113333333,520.231438566667,40.3620870233333,0.273974161666667,0.01705057
6,2024,"BLDE",35.4319779425,0.09096679175,654.42497215,43.761905,0.3133249485,0.016123451
7,2024,"BLDE",64.7834692633333,0.149426553333333,805.630287933333,47.14780459,0.494845282333333,0.0221642566666667
8,2024,"BLDE",64.41052622,0.148885826,684.4892163,40.08557482,0.277938355,0.012361488
9,2024,"BLDE",43.6165172,0.102013052,684.0532267,40.63349237,0.309676902,0.013990799
10,2024,"BLDE",27.40179356,0.074299186,688.6671976,49.24216784,0.246651659,0.013719908
11,2024,"BLDE",22.07507633,0.0702960306666667,599.364198066667,52.44660961,0.258487879666667,0.018039977
12,2024,"BLDE",18.16665178,0.05719878,901.2477548,77.98317212,0.193878895,0.013377652
1,2025,"BLDE",2.864818602,0.008953337,578.1165683,49.62004172,0.243339159,0.016648373
3,2025,"BLDE",45.22651651,0.1419684805,911.93092835,78.612653455,0.2567824555,0.0176089725
4,2025,"BLDE",58.25612803,0.186590569,869.612125,76.39172718,0.173204086,0.012118482
